Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Cote d'Ivoire,CIV,50.6218606460322,52.7912923813154,38.9323349133904,61.954609777616,55.6539855341019,50.6654421695962,50.8958061004876,44.3324266688486,49.4977827339493,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Croatia,HRV,24.8905784945619,22.6073432457522,19.8289409065182,20.1718710437292,18.1778313300349,18.7613905967833,20.0014497847215,15.914853988952,16.1208592960264,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Cuba,CUB,20.9215715506259,21.3974205669767,20.762060268269,21.4005165459257,19.7476038869862,20.1327865141339,20.9153664764928,20.3431122356184,21.2367242811561,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Cyprus,CYP,19.497379062738,20.3070328790346,16.1114833623758,16.9122147785325,14.4813342529054,15.1071226081124,15.24949999422,15.0066614653737,13.508701890821,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Czechia,CZE,25.7202970305337,20.464169154237,18.3617483140192,17.8128111083862,16.9928991704268,16.9432784272519,17.3467438168398,14.2336874017967,14.1110711384133,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Denmark,DNK,18.3926345209712,15.647778890228,10.8104890765495,10.2267270069046,9.23431703209402,10.0945595167367,10.3539340590391,9.61197285377196,9.06983927345931,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Djibouti,DJI,37.2044428947012,42.9159218505288,42.8427623405981,45.1648934739259,44.0959715411584,44.0854038430172,43.0573056895078,39.7218573893781,35.9243304831101,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Dominica,DMA,20.4824057464199,20.0245327007011,19.2837003253437,21.0213905070044,21.0269310891431,20.1703226562748,20.3127256712935,20.0434244381572,20.6672998234563,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Dominican Republic,DOM,17.7649288060502,19.0738112994015,18.9396637119659,19.9571847572804,19.2491722418682,19.1203299259262,19.5892802619564,19.4968181870994,19.8267440369685,..,..,..
